127.0.0.1, 2013-09-11 17:15:27, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000420
127.0.0.1, 2013-09-11 17:15:53, GET, /NOUVELLES_EN_LIGNE/default/catgry.html/Entertainment, HTTP/1.1, 200, 0.030467
127.0.0.1, 2013-09-11 17:15:53, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000298
127.0.0.1, 2013-09-11 17:15:55, GET, /NOUVELLES_EN_LIGNE/default/catgry.html/Science, HTTP/1.1, 200, 0.038852
127.0.0.1, 2013-09-11 17:15:55, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000408
127.0.0.1, 2013-09-11 17:15:57, GET, /NOUVELLES_EN_LIGNE/default/catgry.html/Music, HTTP/1.1, 200, 0.032324
127.0.0.1, 2013-09-11 17:15:57, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000290
127.0.0.1, 2013-09-11 17:15:58, GET, /NOUVELLES_EN_LIGNE/default/catgry.html/Politics, HTTP/1.1, 200, 0.041544
127.0.0.1, 2013-09-11 17:15:58, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000411
127.0.0.1, 2013-09-11 17:16:00, GET, /NOUVELLES_EN_LIGNE/default/catgry.html/Videos, HTTP/1.1, 200, 0.035228
127.0.0.1, 2013-09-11 17:16:00, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000295
127.0.0.1, 2013-09-11 17:16:13, POST, /admin/default/check_version, HTTP/1.1, 200, 63.184459
127.0.0.1, 2013-09-11 17:16:40, GET, /NOUVELLES_EN_LIGNE/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000508
127.0.0.1, 2013-09-11 17:16:41, GET, /NOUVELLES_EN_LIGNE/default/user/logout, HTTP/1.1, 303, 0.271769
127.0.0.1, 2013-09-11 17:16:41, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.036978
127.0.0.1, 2013-09-11 17:16:41, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000372
127.0.0.1, 2013-09-11 18:00:20, GET, /, HTTP/1.1, 303, 0.000600
127.0.0.1, 2013-09-11 18:00:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.070929
127.0.0.1, 2013-09-11 18:00:20, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000335
127.0.0.1, 2013-09-11 18:00:23, GET, /admin/default/index, HTTP/1.1, 200, 0.070591
127.0.0.1, 2013-09-11 18:00:25, POST, /admin/default/index, HTTP/1.1, 303, 0.051151
127.0.0.1, 2013-09-11 18:00:25, GET, /admin/default/site, HTTP/1.1, 200, 0.038315
127.0.0.1, 2013-09-11 18:00:26, POST, /admin/default/check_version, HTTP/1.1, 200, 0.120199
127.0.0.1, 2013-09-11 18:00:27, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.076362
127.0.0.1, 2013-09-11 18:00:27, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000304
127.0.0.1, 2013-09-11 18:06:04, GET, /NOUVELLES_EN_LIGNE/default/likes_h.html/48, HTTP/1.1, 303, 0.022604
127.0.0.1, 2013-09-11 18:06:04, GET, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 200, 0.043497
127.0.0.1, 2013-09-11 18:06:04, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000280
